num_rows,num_columns,num_numeric_columns,num_string_columns,null_ratio_mean,null_ratio_max,null_ratio_std,num_high_null_columns,avg_unique_ratio,min_unique_ratio,num_constant_columns,num_mixed_type_columns,avg_string_length_variance,max_string_length_variance,avg_skewness,avg_kurtosis,empty_row_ratio,label,source,timestamp
1380,7,5,2,0.11325051759834368,0.13768115942028986,0.010829562592647637,0,0.48012422360248447,0.0014492753623188406,0,0,0.0,0.0,0.6388912482480378,5.582243991188635,0.0,0,KO_data.csv_b1,2026-05-03T05:43:04.163394+00:00
37102,8,1,7,0.015063204139938547,0.060832300145544714,0.026091843690911064,0,0.3358208452374535,0.0004851490485688103,0,0,5.0106841406116285,13.115678541895011,-3.8690918804594054,13.687021654687346,0.0,0,support_tickets_30000_dirty.csv_b1,2026-05-03T05:43:04.003737+00:00
100000,11,2,9,0.45454545454545453,1.0,0.49792959773196915,5,0.2742881818181818,0.00001,5,0,2.879700674240076,14.9745125802258,0.6092866260886131,-0.06965587209939916,0.0,1,germany.csv_b19,2026-05-03T05:43:26.711484+00:00
1384,7,5,2,0.0,0.0,0.0,0,0.574525185796862,0.000722543352601156,1,0,0.0,0.0,-0.8562743359054125,19.42389454257563,0.0,0,ARNC_data.csv_b1,2026-05-03T05:43:03.724477+00:00
100000,11,2,9,0.39754727272727275,1.0,0.46299242267687096,4,0.3686709090909091,0.00001,4,1,6.954785795495383,39.120133133052875,0.0020052404764324683,-0.3680185118239825,0.0,1,portugal.csv_b5,2026-05-03T05:43:59.520576+00:00
116094,11,2,9,0.46161887623978687,1.0,0.4919388517729569,5,0.22881693048109916,8.613709580167795e-6,5,0,2.3774005851799473,14.82196105315484,0.02294499119260296,8.98595452216043,0.0,0,germany.csv_b43,2026-05-03T05:43:26.711484+00:00
1259,7,5,2,0.0,0.0,0.0,0,0.7699988653126064,0.0007942811755361397,1,0,0.0,0.0,1.061530239047673,6.6186247707865675,0.0,1,AKAM_data.csv_b1,2026-05-03T05:43:43.431467+00:00
121473,11,2,9,0.5016400951053096,1.0,0.4549391585290633,5,0.20816522639149887,8.232282070912878e-6,5,1,2.0047487453173285,14.840822491424367,-0.05281350973960405,-0.8045476265877379,0.0,0,germany.csv_b26,2026-05-03T05:43:26.711484+00:00
100000,11,2,9,0.47398727272727276,1.0,0.48377613322112145,5,0.2754572727272727,0.00001,5,0,2.742292558185648,18.02736768877689,0.6374598300400955,0.06761450704815886,0.0,1,germany.csv_b38,2026-05-03T05:43:26.711484+00:00
100000,11,3,8,0.45581,1.0,0.4967899840704594,5,0.2707854545454546,0.00001,5,2,1.8309707306448062,14.124682436824367,-0.06127988239284229,-0.9709219969338959,0.0,1,spain.csv_b8,2026-05-03T05:43:44.408777+00:00
100000,7,5,2,0.0,0.0,0.0,0,0.21240428571428568,0.00421,0,0,0.3003936501365013,0.43104281282812823,6.829614817760023,70.28982545318843,0.0,1,prices.csv_b4,2026-05-03T05:42:48.663716+00:00
1259,7,5,2,0.0,0.0,0.0,0,0.8279813911267446,0.0007942811755361397,1,0,0.0,0.0,0.6369334680711854,8.547448079838151,0.0,1,AGN_data.csv_b1,2026-05-03T05:43:05.349338+00:00
113874,11,1,10,0.4379329945218559,1.0,0.424927381405161,4,0.2089598232176872,8.781635843124857e-6,4,1,5.0844612159502685,27.528671568782134,-0.5888957561706192,-0.7292298188050714,0.0,0,france.csv_b41,2026-05-03T05:42:49.598536+00:00
1259,7,5,2,0.0,0.0,0.0,0,0.7296039940996256,0.0007942811755361397,1,0,0.0,0.0,0.5958087005725047,2.5308046182787396,0.0,1,VTR_data.csv_b1,2026-05-03T05:43:00.796082+00:00
100000,11,4,7,0.37110000000000004,1.0,0.475955794356806,4,0.25415727272727273,0.00001,4,1,8.981846582434505,39.604418872588724,0.42307821788031913,-0.6974278914966767,0.0,1,france.csv_b29,2026-05-03T05:42:49.598536+00:00
100000,11,2,9,0.39767272727272723,1.0,0.4629154490458157,4,0.3690645454545454,0.00001,4,2,6.921087858421998,38.856158142711145,0.006047131204716227,-0.3752895968267329,0.0,1,portugal.csv_b21,2026-05-03T05:43:59.520576+00:00
112704,11,3,8,0.4546680605028135,1.0,0.49781781271715564,5,0.235480873470652,8.872799545712663e-6,5,1,2.982327472913671,23.318243847169065,1.5204763001100225,19.070855793570082,0.0,0,spain.csv_b24,2026-05-03T05:43:44.408777+00:00
122163,11,6,5,0.08232592370997617,0.08500937272332866,0.0015076712154813824,0,0.11655961892940354,0.000016371569133043556,0,0,0.0,0.0,1.519780867815155,72.1153357055096,0.0,0,kaggle_bitcoin_historical_data_736cb3.csv_b8,2026-05-03T05:43:05.643671+00:00
100000,11,2,9,0.3976618181818182,1.0,0.46292040960953307,4,0.3689754545454545,0.00001,4,1,6.935318591813936,38.9799218349689,0.003035591185815645,-0.37076858458567274,0.0,1,portugal.csv_b33,2026-05-03T05:43:59.520576+00:00
100000,11,4,7,0.37081545454545456,1.0,0.4761293890485049,4,0.26344454545454543,0.00001,4,0,9.086546945253202,38.3589580711807,0.371142904253998,0.03376373151977846,0.0,1,france.csv_b34,2026-05-03T05:42:49.598536+00:00
100000,11,6,5,0.0,0.0,0.0,0,0.09247909090909091,0.00001,5,0,0.0,0.0,4.805102248636783,172.94550589952118,0.0,1,kaggle_bitcoin_historical_data_736cb3.csv_b1,2026-05-03T05:43:05.643671+00:00
